Código Departamento,Código Entidad,prov
25,25312,14776.199999999999
25,25317,14923.030000000002
25,25320,31533.629999999997
25,25322,15819.84
25,25324,9646.679999999998
25,25326,9918.06
25,25328,9220.39
25,25335,17282.36
25,25339,8292.42
25,25368,9387.62
25,25372,11520.09
25,25377,35759.659999999996
25,25386,34684.39000000001
25,25394,16255.309999999998
25,25398,19700.85
25,25402,16558.670000000002
25,25407,11201.92
25,25426,13170.75
25,25430,60334.030000000006
25,25436,5987.63
25,25438,11162.44
25,25473,145712.43
25,25483,5957.799999999999
25,25486,17305.58
25,25488,15090.220000000001
25,25489,13972.949999999999
25,25491,9889.38
25,25506,7775.3099999999995
25,25513,31555.97
25,25518,8460.67
25,25524,9962.78
25,25530,12344.41
25,25535,11414.689999999999
25,25572,16497.010000000002
25,25580,7195.43
25,25592,8553.5
25,25594,15387.760000000002
25,25596,11587.34
25,25599,13161.830000000002
25,25612,29535.860000000004
25,25645,12018.2
25,25649,13394.79
25,25653,9867.140000000001
25,25658,12187.71
25,25662,17712.609999999997
25,25718,8977.28
25,25736,14489.900000000001
25,25740,30584.39
25,25743,27073.010000000002
25,25745,16137.759999999998
25,25754,376514.36000000004
25,25758,28624.489999999998
25,25769,14415.19
25,25772,12438.74
25,25777,7537.1900000000005
25,25779,11775.86
25,25781,7385.32
25,25785,23839.62
25,25793,11851.59
25,25797,11310.33
25,25799,49621.509999999995
25,25805,5837.27
25,25807,6379.349999999999
25,25815,25180.9
25,25817,155238.46000000002
25,25823,10012.14
25,25839,22067.78
25,25841,9442.14
25,25843,29115.260000000002
25,25845,13084.210000000001
25,25851,8411.720000000001
25,25862,15737.800000000001
25,25867,8708.36
25,25871,8042.21
25,25873,23704.46
25,25875,31216.17
25,25878,17181.129999999997
25,25885,20181.100000000002
25,25898,7528.31
25,25899,125452.51999999999
27,27000,0.0
27,27001,231929.53
27,27006,13588.86
27,27025,25286.550000000003
27,27050,9918.19
27,27073,14893.88
27,27075,10438.970000000001
27,27077,41662.5
27,27099,12737.829999999998
27,27135,12379.97
27,27150,8167.139999999999
27,27160,9845.75
27,27205,29025.43
27,27245,9801.57
27,27250,13693.119999999999
27,27361,35741.0
27,27372,8267.71
27,27413,15712.06
27,27425,14512.600000000002
27,27430,29071.82
27,27450,11949.77
27,27491,10995.140000000001
27,27495,9278.86
27,27580,9989.27
27,27600,13587.289999999999
27,27615,33677.18
27,27660,8786.019999999999
27,27745,5602.03
27,27787,25403.350000000002
27,27800,12555.22
27,27810,7941.99
41,41000,0.0
41,41001,454489.61
41,41006,33982.380000000005
41,41013,15578.89
41,41016,22341.609999999997
41,41020,23331.53
41,41026,6245.46
41,41078,14639.86
41,41132,29262.67
41,41206,12791.61
41,41244,6360.4
41,41298,68156.06
41,41306,26487.57
41,41319,20694.77
41,41349,10542.5
41,41357,13606.57
41,41359,26249.02
41,41378,16495.55
41,41396,52084.98
41,41483,9268.91
41,41503,13439.5
41,41518,8638.529999999999
41,41524,31784.77
41,41530,16542.479999999996
41,41548,12758.52
41,41551,178092.16
41,41615,22115.59
41,41660,12902.09
41,41668,39337.44
41,41676,12886.5
41,41770,23085.04
41,41791,16984.7
41,41797,9471.73
41,41799,14864.78
41,41801,10917.73
41,41807,21062.63
41,41872,9152.050000000001
41,41885,13218.349999999999
44,44000,0.0
44,44001,371411.73999999993
44,44035,70884.92
44,44078,45393.13
44,44090,41833.130000000005
44,44098,13469.42
44,44110,20794.920000000002
44,44279,32642.49
44,44378,25768.69
44,44420,13950.67
44,44430,268642.12
44,44560,92799.13
44,44650,44100.29
44,44847,287873.38999999996
44,44855,17807.37
44,44874,22221.899999999998
47,47000,0.0
47,47001,691434.51
47,47030,16291.359999999999
47,47053,41509.53999999999
47,47058,30199.52
47,47161,12113.500000000002
47,47170,29022.17
47,47189,192762.37
47,47205,12948.07
47,47245,67569.16
47,47258,21366.31
47,47268,39486.21000000001
47,47288,68197.01999999999
47,47318,25713.15
47,47460,20626.35
47,47541,17956.499999999996
47,47545,19637.710000000003
47,47551,46771.34
47,47555,63930.649999999994
47,47570,27916.15
47,47605,10353.77
47,47660,18725.300000000003
47,47675,23456.550000000003
47,47692,22352.429999999997
47,47703,14321.27
47,47707,25769.82
47,47720,12492.75
47,47745,23415.89
47,47798,12982.029999999999
47,47960,9679.68
47,47980,59308.68
50,50000,0.0
50,50001,575703.28
50,50006,124498.04999999999
50,50110,12209.15
50,50124,9577.9
50,50150,48222.79
50,50223,6757.9
50,50226,31825.86
50,50245,2257.54
50,50251,10814.310000000001
50,50270,10340.31
50,50287,15314.25
50,50313,64385.66999999999
50,50318,17589.75
50,50325,15908.48
50,50330,15862.070000000002
50,50350,16983.510000000002
50,50370,13960.779999999999
50,50400,12057.62
50,50450,13300.539999999999
50,50568,122876.46999999999
50,50573,50896.810000000005
50,50577,14544.49
50,50590,20053.370000000003
50,50606,18406.1
50,50680,16004.04
50,50683,10500.03
50,50686,3967.88
50,50689,18716.59
50,50711,20391.899999999998
52,52000,0.0
52,52001,583652.7900000002
52,52019,13496.91
52,52022,11750.380000000001
52,52036,13373.24
52,52051,10698.529999999999
52,52079,39154.72
52,52083,10981.39
52,52110,23405.969999999998
52,52203,15627.45
52,52207,12400.730000000001
52,52210,13456.01
52,52215,20658.85
52,52224,14627.789999999999
52,52227,40240.780000000006
52,52233,20704.620000000003
52,52240,14179.99
52,52250,23963.73
52,52254,10789.16
52,52256,13216.51
52,52258,18582.57
52,52260,16485.66
52,52287,11119.420000000002
52,52317,25648.47
52,52320,17866.910000000003
52,52323,12550.380000000001
52,52352,11753.47
52,52354,9049.18
52,52356,163993.43
52,52378,27985.74
52,52381,16493.64
52,52385,11518.710000000001
52,52390,9238.609999999999
52,52399,29283.46
52,52405,13944.279999999999
52,52411,14566.33
52,52418,19008.76
52,52427,15339.339999999998
52,52435,14076.51
52,52473,16096.99
52,52480,7366.55
52,52490,27667.89
52,52506,10943.26
52,52520,9926.26
52,52540,15803.96
52,52560,14398.56
52,52565,10951.68
52,52573,17655.79
52,52585,25183.620000000003
52,52612,20625.149999999998
52,52621,15396.009999999998
52,52678,35189.67
52,52683,28481.92
52,52685,17055.81
52,52687,27763.609999999997
52,52693,22170.899999999998
52,52694,13369.08
52,52696,15290.619999999999
52,52699,18234.3
52,52720,9246.84
52,52786,22635.2
52,52788,17888.26
52,52835,252047.11999999997
52,52838,40435.979999999996
52,52885,16800.989999999998
54,54000,0.0
54,54001,917704.81
54,54003,31113.56
54,54051,11157.63
54,54099,7692.889999999999
54,54109,6303.79
54,54125,6235.9
54,54128,15650.32
54,54172,15138.380000000001
54,54174,15179.56
54,54206,19896.0
54,54223,13009.12
54,54239,11825.85
54,54245,15280.460000000001
54,54250,19617.670000000002
54,54261,32814.549999999996
54,54313,8935.68
54,54344,13450.25
54,54347,6342.24
54,54377,9188.820000000002
54,54385,12490.849999999999
54,54398,11979.94
54,54405,65515.02
54,54418,6874.64
54,54480,6344.97
54,54498,85065.14
54,54518,30134.600000000006
54,54520,8064.58
54,54553,18935.35
54,54599,12089.65
54,54660,16840.719999999998
54,54670,15488.91
54,54673,11313.8
54,54680,4000.1000000000004
54,54720,25067.54
54,54743,6392.49
54,54800,20781.37
54,54810,44435.810000000005
54,54820,29968.93
54,54871,6423.08
54,54874,92296.41
63,63000,0.0
63,63001,303977.82
63,63111,4952.9
63,63130,46997.86
63,63190,28932.99
63,63212,7066.88
63,63272,12515.94
63,63302,9355.05
63,63401,30124.37
63,63470,35725.32
63,63548,6679.660000000001
63,63594,36060.89
63,63690,6712.99
66,66000,0.0
66,66001,643174.2200000001
66,66045,13954.55
66,66075,9426.420000000002
66,66088,22240.78
66,66170,214471.50000000003
66,66318,18948.0
66,66383,9254.599999999999
66,66400,24515.540000000005
66,66440,15781.069999999998
66,66456,18248.93
66,66572,17573.86
66,66594,26015.660000000003
66,66682,49021.04
66,66687,14506.940000000002
68,68000,0.0
68,68001,647792.7
68,68013,5223.65
68,68020,10683.62
68,68051,13348.55
68,68077,17815.78
68,68079,10904.91
68,68081,388944.38999999996
68,68092,18228.670000000002
68,68101,15203.619999999999
68,68121,7780.8099999999995
68,68132,3609.88
68,68147,11711.49
68,68152,4987.09
68,68160,4812.379999999999
68,68162,9045.77
68,68167,10516.53
68,68169,3622.1600000000003
68,68176,4885.4
68,68179,10278.72
68,68190,58512.98
68,68207,8710.22
68,68209,4681.26
68,68211,7337.53
68,68217,10645.51
68,68229,15054.089999999998
68,68235,20138.77
68,68245,5878.910000000001
68,68250,9305.28
68,68255,12654.320000000002
68,68264,6307.64
68,68266,7976.2
68,68271,11481.49
68,68276,314322.71
68,68296,9181.33
68,68298,7539.86
68,68307,252302.33
68,68318,8555.3
68,68320,6533.04
68,68322,4743.34
68,68324,5989.9
68,68327,7351.0
68,68344,4828.1900000000005
68,68368,8836.74
68,68370,6908.71
68,68377,11556.460000000001
68,68385,18142.76
68,68397,9051.76
68,68406,40185.81
68,68418,16389.01
68,68425,10341.79
68,68432,22204.649999999998
68,68444,8140.530000000001
68,68464,15653.210000000001
68,68468,8393.640000000001
68,68498,7905.349999999999
68,68500,15552.949999999999
68,68502,8811.250000000002
68,68522,4680.049999999999
68,68524,3470.73
68,68533,7159.129999999999
68,68547,193573.05000000002
68,68549,6027.5
68,68572,20132.589999999997
68,68573,8739.41
68,68575,36981.38
68,68615,27527.81
68,68655,48748.31
68,68669,10091.61
68,68673,5686.8
68,68679,43816.420000000006
68,68682,4904.070000000001
68,68684,7834.469999999999
68,68686,8601.560000000001
68,68689,38931.22
68,68705,3877.27
68,68720,10887.4
68,68745,11917.81
68,68755,29506.799999999996
68,68770,14143.52
68,68773,11404.28
68,68780,8212.39
68,68820,13415.59
68,68855,8214.1
68,68861,17682.71
68,68867,2381.03
68,68872,10016.01
68,68895,10159.779999999999
70,70000,0.0
70,70001,525951.7000000001
70,70110,16457.010000000002
70,70124,13360.19
70,70204,15147.660000000002
70,70215,68584.12
